Index,problem,answer,gemini-1.5,yi-lightning,glm-4-plus,doubao-pro
0,Who received the IEEE Frank Rosenblatt Award in 2010?,Michio Sugeno,0,0,0,0
1,Who was awarded the Oceanography Society's Jerlov Award in 2018?,Annick Bricaud,0,0,0,0
2,"What's the name of the women's liberal arts college in Cambridge, Massachusetts?",Radcliffe College,1,1,1,0
3,In whose honor was the Leipzig 1877 tournament organized?,Adolf Anderssen,1,0,0,0
4,"According to Karl Küchler, what did Empress Elizabeth of Austria's favorite sculpture depict, which was made for her villa Achilleion at Corfu?",Poet Henrich Heine.,0,0,0,0
5,"How much money, in euros, was the surgeon held responsible for Stella Obasanjo's death ordered to pay her son?","120,000",0,0,1,0
6,"What were the month and year when Obama told Christianity Today, ""I am a Christian, and I am a devout Christian. I believe in the redemptive death and resurrection of Jesus Christ""?",8-Jan,0,1,1,0
7,"Who appointed the Chief Justice of India, Mirza Hameedullah Beg, in 1977?",Fakhruddin Ali Ahmed,0,0,0,0
8,What is the name of the former Prime Minister of Iceland who worked as a cabin crew member until 1971?,Jóhanna Sigurðardóttir,0,0,0,1
9,To whom did Mehbooba Mufti Sayed contest the 2019 Lok Sabha elections and lose?,Hasnain Masoodi,0,1,1,1
10,"How many fouls did Inter commit in the Champions League final match between Bayern and Inter on May 23, 2010?",13,0,0,0,0
11,What year did the Lego part with ID gal56 first release?,2002,0,0,0,0
12,In which year did the Japanese scientist Koichi Mizushima receive the Kato Memorial Prize?,1999,0,0,0,0
13,In which year did Melbourne's Monash Gallery of Art (MGA) rebrand and become the Museum of Australian Photography (MAPh)?,2023,0,1,0,1
14,"Who requested the Federal Aviation Administration (FAA) implement a 900 sq mi (2,300 km2) temporary flight restriction zone over the operations areas of the Deepwater Horizon?",The Coast Guard,1,1,1,0
15,What signature piece of the MOBA did Scott Wilson discover on the curb between two trash cans?,Lucy in the Field with Flowers,0,0,0,0
16,"What player scored all the conversions for Spain in the rugby match between Spain and Romania that was part of the 2022 Rugby Europe Championship on February 27, 2022?",Manuel Ordas,0,0,0,0
17,"What is the surname of the psychiatrist who prescribes medication for Marie Hanson for her periodic blackouts in Season 1, Episode 20 of Ally McBeal?",Peters,0,0,0,0
18,What is the British-American kickboxer Andrew Tate's kickboxing name?,King cobra,1,1,1,1
19,What position was John Gilbert Layton appointed to in Quebec from 1969 until 1970?, Quebec Youth Parliament prime minister,0,0,0,0
20,Who won the Gerard P. Kuiper Prize in 2001?,Bruce W. Hapke,0,0,0,0
21,"Which streamer won the ""Best VTuber Streamer"" award at The Streamer Awards in 2022?",CodeMiko,0,0,0,0
22,"What did Daemon Targaryen say to Rhaenyra about living life in fear in Episode 4, Season 1 of House of the Dragon?","You cannot live your life in fear, or you will forsake the best parts of it.",0,1,0,0
23,On which U.S. TV station did the Canadian reality series *To Serve and Protect* debut?,KVOS-TV,0,0,0,0
24,"What instrument did Alec Aitken play well enough for a professional musician to remark, ""Aitken is the most accomplished amateur musician I have ever known""?",Violin,0,1,1,1
25,"On what day, month, and year did Tara Chand (a politician and a Dalit leader from Jammu and Kashmir) resign from the Indian National Congress in support of Ghulam Nabi Azad?",30-Aug-22,0,0,0,0
26,What was the strike rate of Harbhajan Singh in the final match of IPL 2015?,200,1,0,0,0
27,"In the lore of Dungeons and Dragons, what is the name of the fortress in the Astral Plane used as a lair by the red great wyrm Ashardalon?",Bastion of Unborn Souls,1,0,0,0
28,In which episode and season of South Park does Bill Cosby (BSM-471) first appear? Give me the number and title.,"Season 4 Episode 12: ""Trapper Keeper""",0,0,0,0
29,"The WWI Q-Ship ""Salvia"" was partially reconstructed with a false counter-stern to resemble what kind of ship?",tramp,0,1,1,1
30,Which district in Kashmir was originally known as Panwangam?,Pulwama,0,0,1,0
31,"In 1810, François Aimé Louis Dumoulin published a collection of how many engravings themed on the journey of ""Robinson Crusoe""?",150,0,0,0,0
32,"What day, month, and year was Carrie Underwood's album ""Cry Pretty"" certified Gold by the RIAA?",23-Oct-18,1,0,0,0
33,"In the series ""El guardián invisible,"" who portrays the character Alfonso Álvarez de Toledo?",Ramón Barea,0,0,0,0
34,"On what day, month, and year was David Sweet, Canadian politician, born?",24-Jun-57,0,0,0,0
35,"From which high school did the first female governor of Hawaii, United States, graduate?",Birmingham High School,0,1,1,0
36,"In which month and year did Khusro Bakhtiar (former Federal Minister for Planning, Development, and Reforms, Pakistan) announce that the government was considering establishing a Pak-China business council to promote the private sector's role in the China-Pakistan Economic Corridor (CPEC)?",19-Jun,0,0,1,0
37,What is the first and last name of the woman whom the British linguist Bernard Comrie married in 1985?,Akiko Kumahira,0,0,0,0
38,What are the first names and surnames of the figure skaters who came 21st in the ice dance category at the 2022 Winter Olympics in Beijing?,Katharina Müller and Tim Dieck,0,0,0,0
39,What is the name of the kibbutz that Simon Le Bon lived on in 1978?,Gvulot.,0,0,0,0
40,Who won the 1991 Ig Nobel Prize for Peace?,Edward Teller,0,1,1,0
41,"Why did David Chow come to Genoa City on ""The Young and the Restless""?","To avenge the murder of his former fiancée, Carmen Mesta.",0,0,0,0
42,"In which season and episode of Archer does Sterling go into a rampage? Give me the season, number, and title of the episode.","Season 2, Episode 9 ""Placebo Effect""",0,0,0,0
43,"On what day, month, and year was Algerian artist Mohammed Racim born?","June 24th, 1896.",0,1,1,0
44,"How many original artworks were shown in the Society of Illustrators' first ""Annual Exhibition""?",350,0,0,0,0
45,In what year was Eugenius Aristides Nisbet elected to the Georgia House of Representatives?,1827,0,1,0,0
46,What day/month/year was it announced that the politician Ibrahim Rugova had been diagnosed with lung cancer?,5-Sep-05,0,0,1,1
47,"In 2022, which university did Honda Battle of the Bands (HBOB) select to be the first-ever HBCU campus to host the in-person event?",Alabama State University,0,0,1,0
48,"Who wrote the lyrics to ""Dream Serenade,"" the opening theme song for the radio program ""The American Album of Familiar Music""?",Alfred Bryan,0,0,0,0
49,In what year did Etta Cone last visit Europe?,1938,0,0,0,0
50,"What day, month, and year was Vladislav Kaborda born?",24-Jul-95,0,0,0,0
51,In what year was John Williams inducted into the Classical Music Hall of Fame?,2004,0,0,0,0
52,On which month and day was the 1985 St. Louis mayoral election held?, April 2,1,1,1,1
