question_id,question,answer,gemini-1.5,gpt-4o,qwen-plus,yi-lightning,360gpt2-pro,spark4.0-ultra,doubao-pro,moonshot-v1,hunyuan-turbo,glm-4-plus,ernie-4.0-turbo
b9af4e1541a6494aa917a4b173bea6e3,乳中穴属于哪个经脉系统？,足阳明胃经,1,1,0,1,1,1,1,1,1,1,1
82feec3310264e209192ede5301df4ef,《外科正宗》的作者是哪位明朝中医学者？,陈实功,1,1,1,1,1,1,1,1,1,1,1
765148dc13df4af189484137fb96a48e,桂枝加葛根汤最早出自哪本医学著作？,《伤寒论》,1,1,1,1,1,1,1,1,1,1,1
3fd386e951b44cd986d6adfedaa12674,中药药材白芷是什么科？,伞形科,1,1,1,1,1,1,1,1,1,1,1
97e7f58a3b154facaa3a5c64d678c7bf,伏兔穴所属的经脉是什么？,足阳明胃经,0,1,1,1,1,1,1,1,1,1,1
1a6ec39f167842a996f21985d0139a11,创立了调气活血的“衡法”治则的是哪一位中医学家？,颜德馨,0,0,0,0,0,0,1,0,1,1,1
88a7f6e014ec4cf19db9a545b266cd31,许润三被授予国医大师是哪一届？,第三届,0,1,1,1,1,0,1,1,1,1,1
e4270f643b4342cfb20a5f7ba0be4bcd,显脉香茶菜是哪一目的植物？,木兰藤目,0,0,0,0,0,0,0,0,0,0,0
046211fb952e40daaf425cf92306a016,”君药分量最多，臣药次之，使药又次之，不可令臣过于君。”出自哪本古代医学著作？,《脾胃论》,0,0,0,0,0,0,0,0,0,0,0
1edf94a1544c408580a7971246098b7e,四物汤的最早记载在哪个文献中？,《仙授理伤续断秘方》,0,0,0,0,0,0,1,0,1,0,1
84c14f1896b247a5b28b9fcd78a08d31,清代编纂《汤头歌诀》的是哪位医家？,汪昂,0,0,1,1,0,1,1,1,1,1,1
4d323244af584e998eeef6efe63887a1,剥取芸香科植物黄皮树树皮，除去粗皮，晒干后得到的中药药材叫什么？,黄柏,0,1,1,1,0,0,1,1,1,1,1
af0a86c0707d4c159b3d6090d9dbdec0,清朝哪本书提出了温病和时疫的防治原则及方法，形成了中医药防治瘟疫（传染病）的理论和实践体系？,《温热论》,0,0,1,0,0,0,0,0,0,0,0
e27583e51f274fe4b04d57c456e44648,”轻可去实，故疗伤寒，为解肌第一“描述的是哪一味中药？,麻黄,1,0,0,0,0,0,0,0,1,0,0
e2a38da06db54a87a48de036964a046b,创建了IgA肾病从虚、瘀、风湿辨治体系并提出IgA肾病五型辨证治疗新方案的哪位著名中医？,王永钧,0,0,0,0,0,0,0,0,1,0,0
f73f6c2aff314b97adbf721b030ee4cc,商阳穴位于人体哪个部位？,手,0,1,1,1,1,1,0,0,1,0,1
a21e880344fd486a8dd3a2ece1030617,”收肺气，补气不足，升也。酸以收逆气，肺寒气逆“ 描述的哪一味中药？,五味子,1,1,1,1,1,1,1,1,1,1,1
e3c34eef0ef44750b48f05f084b0211f,青贝药材因外层两枚鳞片大小相近，顶端不抱合俗称什么？,开口子,0,0,0,0,0,0,0,0,0,0,0
030a1573f0ca488189c067f4caf0e790,“食医”最早出自哪一部典籍？,《周礼》,0,0,0,1,0,1,1,1,1,1,1
7b8623471ca14b9c8cf8b985d4d9d002,位于第3肋间隙并距前正中线4寸的腧穴，主治咳喘、胸痛、乳痈等疾病的是什么穴位？,膺窗穴,0,0,0,0,0,0,0,0,1,0,0
11e89f131fcc48bb9b4c097e9266ed2e,距花山姜属于什么纲？,木兰纲,0,0,0,0,0,0,0,0,0,0,0
ce0e8c4362f54e1784e4143295c6cabd,哪一年中国中医科学院西苑医院的“血瘀证与活血化瘀研究”获得了国家科技进步一等奖？,2003,0,0,0,1,1,0,1,0,1,1,0
ea4af0606fa64a5a8eff288098357a78,孙光荣在哪一年被评为国医大师？,2014,0,1,1,0,1,0,1,0,1,1,0
cbe1262c8fe14ac798a1104d16479562,明重修纪公庙记刻立于哪一年？,万历41年（1613年）,0,0,0,0,0,0,0,0,0,0,0
d053b74b03294855aa23f07b3d5734df,大柴胡汤的出处是哪部中医经典著作？,《伤寒论》,1,1,1,1,1,0,1,1,1,1,1
4476c4271ca5492dbf17bff8d6735ad7,曹炳章在哪一部著作中表示进行舌诊时应将舌质和舌苔辨证结合，一般情况下二者反映病变是一致的，但也有不一致现象出现？,《辨舌指南》,0,0,0,1,0,0,0,1,1,0,1
2268a30af11c4effa809af8938ffe230,中国中医科学院望京医院是在哪一年正式挂牌成立的？,1997,0,0,1,0,0,1,1,0,1,1,0
84c56e455ac04b4b85f8b6a1d33d41b7,在道教中职能是”治病除灾，驱邪辟恶”和“庇护商贾，招财进宝”并且是护法四帅之一的财神是谁？,关公,0,0,1,0,0,0,0,0,0,0,0
51398bbc85884cfdb132baf8d3b3c12b,中国神话中，被称为汉字创造者的人物是谁？,仓颉,1,1,1,1,1,1,1,1,1,1,1
bb8d8141524541a2be9dd7898ccdc72a,汉族民间常把寿星与福、禄二星结合起来祭祀，合称福、禄、寿，成为人们最受欢迎的三个福神，其中五福之说：”一寿，二富，三康宁，四攸好德，五考终命“是来自哪本书籍,《尚书·洪范》,1,1,1,1,1,1,1,1,1,1,1
b389a36f57e44959afdce77dbeb7d861,从哪个朝代起，元宵节张灯即成为法定之事，并逐渐成为民间习俗？,唐朝,0,1,1,1,1,1,1,0,0,0,1
